day,ret_bps,equity
20230920,143.8647906129612,1.0143864790612962
20230921,70.68500402925343,1.021556670297263
20230922,-58.005145724877075,1.0156311159445817
20230925,72.49617621814379,1.0229940531799966
20230926,39.38731473161318,1.0270233520541137
20230927,-13.144189140735312,1.0256734131349785
20230928,88.44972663348202,1.0347454664356803
20230929,74.72394800677583,1.042477493079099
20231002,36.5394350918718,1.0462866469484091
20231003,39.03068317586154,1.050370375211227
20231004,-121.98919725184416,1.0375569913223135
20231005,-43.3682442547843,1.0330572888195209
20231006,179.91734483512877,1.0516437812662194
20231009,101.93953923995933,1.062364189516904
20231010,-14.03333917879243,1.0608733378166146
20231011,-39.48057796112554,1.0566849485645597
20231012,-67.70754122777906,1.049530394592589
20231013,102.34792482927352,1.060272120385769
20231016,-3.046250101086372,1.0599491349803787
20231017,37.61225841333146,1.0639358430573655
20231018,-87.9462114807941,1.0545789303918136
20231019,78.25021549981817,1.0628310332482862
20231020,70.3356442283428,1.0703065237912255
20231023,24.714203348644045,1.0729517010986611
20231024,-0.6184041872169774,1.072885349316197
20231025,93.28127182038013,1.0828933603063637
20231026,86.2933087272419,1.0922380054123233
20231027,-42.807815779678954,1.087562373079998
20231030,-53.75386810860406,1.0817163046437557
20231031,-64.51929277014364,1.0747371475484009
20231101,75.5595589879951,1.082857814038078
20231102,47.09658747698938,1.0879577048144766
20231103,64.86546381840097,1.095014792928236
20231106,13.211790232447202,1.0964615035027954
20231107,23.1668244421482,1.0990016566187177
20231108,-22.618598953150226,1.0965158688467271
20231109,68.32679285976126,1.1040080101105403
20231110,170.2511962812153,1.1228038785530765
20231113,-17.31905882324099,1.120859287911114
20231114,-3.1945478330587203,1.1205012240501782
20231115,29.955207013319672,1.1238577086626882
20231116,13.14180808551379,1.125334660894955
20231117,17.28914449704949,1.1272802682509302
20231120,79.56998096924879,1.136250035200104
20231121,-38.9020339214364,1.131829791458845
20231122,8.244956353186534,1.1327629801818266
20231124,-9.97979381226341,1.1316325060837886
20231127,-6.505545075342602,1.1308963174560835
20231128,38.68995107293292,1.135271749775177
20231129,51.09965277316693,1.1410729489968467
20231130,-19.904691982997964,1.1388016784388555
20231201,-90.62505435283796,1.128481282038293
20231204,-74.39708932446459,1.120085709764214
20231205,11.544310235770245,1.121378771456631
20231206,51.47224512782704,1.1271507597571866
20231207,27.607302944854293,1.1302625190061004
20231208,-0.21249695586220668,1.130238501271639
20231211,54.419234828564385,1.1363891727129376
20231212,65.83541699691833,1.1438706382185715
20231213,90.72239451793517,1.1542481065503662
20231214,23.18417883562727,1.156924136002661
20231215,-25.989260615250153,1.1539173757143963
20231218,20.314813888758025,1.1562615373874605
20231219,17.272744434867874,1.1582587183909767
20231220,-172.0687229415636,1.13832870854003
20231221,-44.45654395472223,1.1332680925134169
20231222,-28.82290813018367,1.1300016843016787
20231226,20.369489908198076,1.1323034400921417
20231227,-20.40872689860949,1.129992552924622
20231228,22.73562538682381,1.1325616616619414
20231229,-45.17602184317629,1.127445198625343
20240102,1.3986984643894678,1.1276028942121432
20240103,22.479037460080992,1.1301376369820524
20240104,-38.626718221980134,1.1257722861764763
20240105,-46.35697921146476,1.1205535459297638
20240108,96.66865040139139,1.1313857858285163
20240109,60.715683427091456,1.1382550719491438
20240110,48.85923304214409,1.1438164989313204
20240111,-43.67462528795331,1.13882092323242
20240112,-4.003093156787552,1.1383650426079601
20240116,-14.492384476468443,1.1367152802207554
20240117,-69.09335116610434,1.1288613334175386
20240118,44.413114323212824,1.1338749581631513
20240119,129.04398408732902,1.148506932368974
20240122,15.297775514967649,1.1502638924918507
20240123,-35.82913617990959,1.1461425963271583
20240124,-52.809581510073365,1.1400898652408678
20240125,-52.2802686127536,1.1341294448011208
20240126,-29.440440548193166,1.1307905177517585
20240129,89.16363860845476,1.140873057458427
20240130,40.84829787182984,1.1455333297069277
20240131,50.97989228331636,1.1513732462824684
20240201,41.68385158373325,1.1561726134340204
20240202,81.3150710427493,1.1655740392539273
20240205,-40.33163401963842,1.1608730886965293
20240206,-21.64200482485415,1.158360726597868
20240207,-13.871880046656118,1.1567538624928555
20240208,13.879573381092278,1.1583593875046887
20240209,37.71118572664636,1.1627276981047279
20240212,-39.202602720398545,1.1581695029026475
20240213,-35.979450721337415,1.1540024726469833
20240214,18.374050236711664,1.1561228425875538
20240215,-53.410719990116405,1.1499479072455916
20240216,11.149785221265281,1.1512300744637347
20240220,-58.4268239278141,1.144503802777625
20240221,-36.8269405049633,1.1402889454323655
20240222,49.195917518294934,1.1458987015230169
20240223,34.28761666987557,1.1498277150650498
20240226,-24.817856341496142,1.1469740891600544
20240227,-3.6539638167036568,1.1465549889780058
20240228,-8.383943344723514,1.1455937237710856
20240229,-27.478605905864736,1.1424457919247117
20240301,84.49745403077759,1.1520991680032933
20240304,16.878584565305776,1.1540437483267694
20240305,17.074621222241277,1.1560142343144268
20240306,-15.390456064852392,1.1542350756860709
20240307,39.24397071927616,1.1587647524374094
20240308,-213.65708244407986,1.1340069228129281
20240311,-23.344960215824567,1.1313595881631744
20240312,60.473136732170346,1.1382012744699987
20240313,8.174841882961964,1.1391317360149766
20240314,19.221688087604488,1.1413213395070139
20240315,28.657868495219724,1.1445921231928518
20240318,-76.50980826962099,1.1358348708036115
20240319,-108.08360633297993,1.1235583579000905
20240320,-102.59489535940877,1.1120312226841955
20240321,53.57511941613049,1.1179889432391727
20240322,-21.204188481369535,1.1156183384119196
20240325,-3.0378114168642054,1.1152794345993906
20240326,59.14817381279323,1.1218761087841425
20240327,-48.44057430836077,1.1164416764829093
20240328,11.140799063948583,1.1176854817213406
20240401,-19.19924605628031,1.1155396098636305
20240402,-49.20484415762979,1.1100506145981301
20240403,-22.033453019788034,1.1076047897914967
20240404,234.22491978375393,1.1335476540955982
20240405,48.47305454421436,1.1390423058221424
20240408,-24.481597022532235,1.1362537483498671
20240409,-43.73483013456387,1.1312843618824828
20240410,7.420697026161973,1.1321238537324791
20240411,-148.3585104004792,1.115327832879619
20240412,51.99886494172039,1.1211274110143838
20240415,195.30205646364553,1.1430232599072712
20240416,-10.435912013522744,1.141830410890291
20240417,109.89899198367135,1.1543790120076056
20240418,61.35443245316061,1.1614616389193622
20240419,113.08775263910582,1.1745963475715544
20240422,-92.6834036912035,1.1637097888259356
20240423,24.38800468748045,1.166547844804411
20240424,38.629979277808495,1.1710542167115479
20240425,75.82291133534272,1.1799334907158079
20240426,24.281114580476014,1.182798500744349
20240429,-6.928110433099605,1.1819790448810228
20240430,148.1278086119206,1.1994874414553665
20240501,20.636666714430728,1.2019627837111124
20240502,-85.37782654181305,1.1917006867053723
20240503,-32.77096892211669,1.1877953680885236
20240506,57.51168336751978,1.194626579200015
20240507,-3.97458768468503,1.1941517643910664
20240508,-11.581889139808625,1.192768711055938
20240509,-35.09143752173165,1.1885831141857484
20240510,-12.563141737098443,1.1870898803727645
20240513,4.962137336757048,1.187678930674513
20240514,25.480082150438143,1.190705146346706
20240515,86.49026281947161,1.2010035864515085
20240516,-36.6705482014076,1.1965994404608051
20240517,-14.938704193083788,1.1948118759529398
20240520,6.806666384451527,1.195625144536119
20240521,36.1463636009068,1.1999468946565979
20240522,-13.827065976397824,1.198287720168539
20240523,104.14911762611281,1.210767781040315
20240524,21.517693317719097,1.213373074019455
20240528,-25.388476427945854,1.2102925046506503
20240529,-23.313426579279913,1.2074708981059876
20240530,61.9173540388277,1.2149472384149484
20240531,-96.66035673095641,1.2032035150675005
20240603,22.91467105534192,1.2059606163435408
20240604,-44.122569070877894,1.200639608284403
20240605,98.72758817693742,1.212493233563965
20240606,6.131933608134979,1.2132367263648178
20240607,-0.4480036073210571,1.2131823729218234
20240610,40.08151613821912,1.2180449918077103
20240611,79.67758880318789,1.227750080607814
20240612,-26.353569100594257,1.2245145209490582
20240613,-10.729284231357529,1.2232007045149895
20240614,30.489869799799504,1.226930227536958
20240617,-121.46686851855155,1.2120270902739911
20240618,-10.443510282548424,1.2107613085359907
20240620,66.0208164461357,1.2187548535470845
20240621,-3.360880557564781,1.2183452445979122
20240624,73.97383562707883,1.227357811684004
20240625,43.46080282662707,1.2326920072691359
20240626,22.27183134489883,1.235437438117746
20240627,-14.243301679329102,1.233677767304041
20240628,-142.0319697687317,1.2161555989690327
20240701,-56.3147598923674,1.2093068479142628
20240702,97.57305325129292,1.2211064240611318
20240703,70.61708973406759,1.229729522253409
20240705,50.06898436308466,1.235886653075462
