H,T,S,hit_rate,win_rate,expectancy_bps,cost_bps
10,1,1,0.6040555555555556,0.0002777777777777778,-0.5392305794018972,0.5862670634507873
10,1,2,0.7270972222222222,0.0003194444444444444,-0.5435429064235947,0.5862670634507873
10,1,3,0.7869999999999999,0.00034722222222222224,-0.5487822554093038,0.5862670634507873
10,1,5,0.84875,0.00037499999999999995,-0.5548288154001624,0.5862670634507873
10,1,10,0.8926111111111111,0.0005,-0.5591416962651689,0.5862670634507873
10,1,20,0.9021388888888889,0.0005277777777777777,-0.5597320718014489,0.5862670634507873
10,2,1,0.413875,0.13556944444444444,-0.5334216154635519,0.5862670634507873
10,2,2,0.54975,0.1825,-0.5389806757452743,0.5862670634507873
10,2,3,0.6279444444444445,0.20852777777777778,-0.5449452834501164,0.5862670634507873
10,2,5,0.7145555555555556,0.23515277777777777,-0.554103740914287,0.5862670634507873
10,2,10,0.7794583333333334,0.2536388888888889,-0.5605499745643407,0.5862670634507873
10,2,20,0.7928333333333333,0.2564166666666667,-0.5633419035044008,0.5862670634507873
10,3,1,0.3145138888888889,0.22084722222222222,-0.5293086949329077,0.5862670634507873
10,3,2,0.43920833333333337,0.30972222222222223,-0.5344071985835529,0.5862670634507873
10,3,3,0.5178194444444445,0.3647638888888889,-0.5401020472543999,0.5862670634507873
10,3,5,0.6079861111111111,0.4258194444444445,-0.5510061707540181,0.5862670634507873
10,3,10,0.6778611111111111,0.4713055555555556,-0.5584156940396859,0.5862670634507873
10,3,20,0.692763888888889,0.4797222222222222,-0.5627239063757309,0.5862670634507873
10,5,1,0.20576388888888889,0.20597222222222222,-0.5217554722996344,0.5862670634507873
10,5,2,0.3000833333333333,0.30259722222222224,-0.5263583581361136,0.5862670634507873
10,5,3,0.3646805555555555,0.3685833333333333,-0.5312838806308554,0.5862670634507873
10,5,5,0.4407638888888889,0.44804166666666667,-0.5440304207789242,0.5862670634507873
10,5,10,0.501875,0.5112361111111111,-0.5550245415632084,0.5862670634507873
10,5,20,0.5155138888888889,0.5246527777777777,-0.5612830984919959,0.5862670634507873
10,10,1,0.09275,0.13770833333333335,-0.5105152284581169,0.5862670634507873
10,10,2,0.1361527777777778,0.21168055555555557,-0.5119673021056944,0.5862670634507873
10,10,3,0.16630555555555557,0.2650138888888889,-0.5163173014263603,0.5862670634507873
10,10,5,0.2026388888888889,0.3320416666666667,-0.5313877173897801,0.5862670634507873
10,10,10,0.23445833333333332,0.3890833333333333,-0.5417788397100659,0.5862670634507873
10,10,20,0.24197222222222223,0.4017916666666667,-0.5466436255286022,0.5862670634507873
